句子,标签
需要药物治疗吗,O O O O O O O
你好，我性交，5分钟上下算正常吗？,O O O O B_physiology I_physiology O B_datetime I_datetime I_datetime I_datetime I_datetime O O O O O
嗯，到现在都还在疼吗？疼,O O O O O O O O B_symptom O O B_symptom
医生你说这种情况吃什么药能管事点吧,O O O O O O O O O O O O O O O O O
一个月就一两次都不行是肾的元因吗,B_datetime I_datetime I_datetime O B_frequency I_frequency I_frequency O O O O B_part O O O O
尿道口有白色分泌物，排尿有刺痛，瘙痒感吗？有点粘,B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom O O B_symptom I_symptom I_symptom
我尿尿的时候里面痒，好像尿的不舒服,O B_physiology I_physiology O O O O O B_symptom O O O B_symptom I_symptom I_symptom I_symptom I_symptom
而且他是在阴精不为,O O O O O B_part I_part O O
正常几分钟射,O O O O O B_physiology
中心医院也是不错的医院,O O O O O O O O O O O
趁这次机会做了费用一般就是一千元左右,O O O O O O O O O O O O O B_price I_price I_price O O
您好您先不要着急，我先大概了解一下您的基本情况，以便给您更好的建议。,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
你好，我前列腺发炎几天了，吃药没多大效果。你好,O O O O B_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O O O O
我想怎么去跟，,O O O O O O O
勃起问题不大,B_physiology I_physiology O O O O
一个月1次可以吗？,B_frequency I_frequency I_frequency I_frequency I_frequency O O O O
哦(⊙o⊙)哦去医院该检查什么,O O O O O O O O O O O O O O O
你好请讲我想问一下如果感染了艾滋病,O O O O O O O O O O O O O O B_symptom I_symptom I_symptom
入职体检明天可以吗,O O O O B_datetime I_datetime O O O
真是不好意思麻烦您了，我去百度看看吃点药吧,O O O O O O O O O O O O O O O O O O O O O
总想尿,B_symptom I_symptom I_symptom
目前是打算要来我们医院就诊吗？对，,O O O O O O O O O O O O O O O O O
最常见的是尿路结石堵塞尿道,O O O O O B_symptom I_symptom I_symptom I_symptom O O B_part I_part
我最近掉头发比较严重,O O O B_symptom I_symptom I_symptom O O O O
鬼头流脓属于什么情况啊,B_symptom I_symptom I_symptom I_symptom O O O O O O O
必须到医院检查判断吗？医生？,O O O O O O O O O O O O O O
引产需要多少钱,B_surgery I_surgery O O O O O
要是孩子二十岁左右有包皮过长！现在做手术晚吗,O O O O B_age I_age I_age O O O B_symptom I_symptom I_symptom I_symptom O O O O O O O O
老是爱解小便，,B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O
你好请讲我的双侧精索静脉稍增宽,O O O O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom
我想再咨询一下多长时间自慰一次比较好,O O O O O O O O O O O B_cause I_cause O O O O O
那是怎么会是,O O O O O O
就流了一次,O B_symptom I_symptom I_symptom I_symptom
你现在就9厘米是短小。阴茎短小女性是不容易有性高潮的,O O O O B_symptom I_symptom I_symptom O B_symptom I_symptom O B_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O
请问生物补片有哪些,O O B_medicine I_medicine I_medicine I_medicine O O O
前列腺炎和阴囊潮湿是有直接关系的。前列腺炎的患者就容易出现阴囊潮湿的症状。,B_symptom I_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom I_symptom O O O O O O O O B_symptom I_symptom I_symptom I_symptom O O O O O O O O B_symptom I_symptom I_symptom I_symptom O O O O
见个伟大的医师吗？连夜赶场救济是医师的美德，看来你还要多练习这是全天24小时接诊的综合医院的医生，我们这边现在已经不接诊了，您来了医院我自己一个人也没法给您做手术，您明白么？,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
不在勃起的时候多长啊,O O B_physiology I_physiology O O O O O O
皮下组织和血液中也有。真郁闷性生活都没有还得这病,B_part I_part I_part I_part O B_fluid I_fluid O O O O O B_emotion I_emotion O O O O O O O O O O
孩子还可以保住吗,O O O O O O O O
精子有点黄怎么整？,B_symptom I_symptom I_symptom I_symptom I_symptom O O O O
26号或28号,B_datetime I_datetime I_datetime O B_datetime I_datetime I_datetime
你怎么考虑的呢目前打算改善这个情况吗,O O O O O O O O O O O O O O O O O O
有，费用贵吗,O O O O O O
是蛋蛋吗,O B_part I_part O
你目前早上没有有晨勃吗，，硬度怎么样呢？,O O O O O O O O B_physiology I_physiology O O O O O O O O O O
你多大了，是存在包皮过长还是包茎的问题那？,O O O O O O O O B_symptom I_symptom I_symptom I_symptom O O B_symptom I_symptom O O O O O
我加您微信可以吗？可以，我的微信是18107833351,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
哦，那正常费用大概是多少呢,O O O O O O O O O O O O O
我想知道的是，在月经快结束的时候自慰会不会影响以后的生活，,O O O O O O O O B_physiology I_physiology O O O O O O B_cause I_cause O O O O O O O O O O O
嗯发了,O O O
想着再过一个月，回老家吃几幅中药调理调理,O O O O B_datetime I_datetime I_datetime O O O O O O O O O O O O O
我还是个孩子，我都不敢跟家里人说。,O O O O O O O O O B_emotion I_emotion O O O O O O
这检查什么项目啊做这个白带以及尿常规,O O O O O O O O O O O B_fluid I_fluid O O B_check I_check I_check
我院有五大科室：性功能，前列腺，生殖感染，生殖整形，男性不育，您想了解哪方面呢？,O O O O O O O O O O O O B_part I_part I_part O B_symptom I_symptom I_symptom I_symptom O B_surgery I_surgery I_surgery I_surgery O O O B_symptom I_symptom O O O O O O O O O O
这是医德我现在给你认真的描述病情的严程度和病情指导，这是医德,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
他这个年龄一般一个月几次正常,O O O O O O O B_datetime I_datetime I_datetime O O O O
阴道炎用什么药,B_symptom I_symptom I_symptom O O O O
咱们申请这个援助和隐私诊号也是免费的那你把号给我，我明天过来怎么说,O O O O O O O O O O O O O O O O O O O O O O O O O O B_datetime I_datetime O O O O O
三个月前做了一个心脏支架，近二天手术的手臂上血管起小包？,B_datetime I_datetime I_datetime I_datetime O O O O B_tool I_tool I_tool I_tool O O B_datetime I_datetime O O O B_part I_part O B_symptom I_symptom I_symptom I_symptom I_symptom O
疾病咨询有什么问题了呢，请讲,O O O O O O O O O O O O O O
检查单子您拿着没有？53岁,O O O O O O O O O O B_age I_age I_age
麻烦您记得把路线都发给我,O O O O O O O O O O O O
你好，我的前列腺4.2＊2.9＊3.5正常吗,O O O O O B_part I_part I_part O O O O O O O O O O O O O O
首先需要确诊清楚是什么原因。如果连病因都不清楚,O O O O O O O O O O O O O O O O O O O O O O O
就在刚才嗯，之前出现过类似的情况吗？,O O O O O O O O O O O O O O O O O O
多少岁阴茎发育结束呢？,O O O B_part I_part O O O O O O
是男朋友,O O O O
13261590995，雷阳，这是我的电话，你记下，，来之前提前一天给我打电话，我这边给你安排号位,O O O O O O O O O O O O B_name I_name O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
哦，这个检查出结果快吗？,O O O O O O O O O O O O
建议你可以去皮肤科看一下我问下跟手淫有关吗,O O O O O O O O O O O O O O O O B_cause I_cause O O O
一个月来两次月经是咋回事,B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O
好的，我一是没时间，二是不好意思去看,O O O O O O O O O O O O B_emotion I_emotion I_emotion I_emotion O O
我做四号线,O O O O O
阴茎还是水肿你方便加上我qq或者微信给我发个局部水肿照片吗,B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom O O O
您现在也是想调理改善下吧,O O O O O O O O O O O O
有没有市场上随时能买到的药，,O O O O O O O O O O O O O O
盐亭，导致您目前这种情况的病因有很多，例如尿道炎，尿道感染，前列腺炎，膀胱炎等等,B_address I_address O O O O O O O O O O O O O O O O O O O B_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom O O
早泄问题出现多久了呢，还有勃起不好的情况？,B_symptom I_symptom O O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom O O O O
周一去检查会晚吗？,B_datetime I_datetime O O O O O O O
不谈两次以上，很少一夜两次,O O B_frequency I_frequency O O O O O B_frequency I_frequency I_frequency I_frequency
下午我的睾丸里好像长了一个包，感觉特不舒服,O O O O B_part I_part O O O B_symptom I_symptom I_symptom I_symptom I_symptom O O O O B_symptom I_symptom I_symptom
没关系您加我吧您是哪里的朋友？老家绵阳，在西藏上班，这里医疗条件比较差,O O O O O O O O O O O O O O O O O B_address I_address O O B_address I_address O O O O O O O O O O O O
出现的红点会越来越多,O O O B_symptom I_symptom O O O O O
我不好意思去解决,O B_emotion I_emotion I_emotion I_emotion O O O
什么症状？,O O O O O
嗯你没有到医院检查吗要六周吧,O O O O O O O O O O O B_datetime I_datetime O
您这个情况考虑是细菌病菌感染或者前列腺炎引起的导致出现的这个情况了这个是需要检查一下，才能明确是哪种原因导致的,O O O O O O O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
您不是本人啊,O O O O O O
这样吧你有微信或者是QQ吗我加你后期你有什么不清楚的或者准备来院可以随时沟通。13990103313微信号,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
每天都遗精怎么回事,B_symptom I_symptom I_symptom I_symptom I_symptom O O O O
目前有不勃起，勃起不坚硬的情况吗,O O O B_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom I_symptom I_symptom O O O O
我还是不想做手术的，，，，网上说手术有做的不好的,O O O O O O O O O O O O O O O O O O O O O O O O
当然的，，咱们医院治愈的患者很多，，我先帮您分析一下您的情况,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
做手术往哪里打麻药疼不疼,O O O O O O O O O O O O
咱们医院每天都有接诊。,O O O O O O O O O O O
是的那出现好几天了一直也没有检查一下吗？,O O O O O O O O O O O O O O O O O O O O
姑娘，你目前在哪个地区呢,O O O O O O O O O O O O
什么考虑什么做。。。,O O O O O O O O O O
顺便问一下，一个月内受孕率最高的是哪几天？,O O O O O O B_datetime I_datetime I_datetime I_datetime B_physiology I_physiology O O O O O O O O O
如果实在忍不住呢,O O O O B_symptom I_symptom I_symptom O
但是我比较担心，想咨询下,O O O O O B_emotion I_emotion O O O O O
然后尿尿的时候有点疼但是喝水喝多了就尿的时候好点了,O O B_physiology I_physiology O O O B_symptom I_symptom I_symptom O O O O O O O O B_physiology O O O O O O
你好这里是桂林男健医院预约挂号咨询平台有什么需要我帮助的请讲,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
在中医院嗯,O O O O O
请教一下如何治疗,O O O O O O O O
不大一会,O O O O
25了。差不多有一个月了。开始得时候。没有勃起都不痛。只是坐久了。站起来会痛这个不排除的，有去医院看诊过吗,B_age I_age O O O O O O O O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O B_symptom O O O O O O O O O O O O O O O
医生给你确诊是什么？,O O O O O O O O O O
生殖器整形可以吗,B_surgery I_surgery I_surgery I_surgery I_surgery O O O
还在关注对话吗？你是想了解哪方面的疾病，我给你一个指导,O O O O O O O O O O O O O O O O O O O O O O O O O O O
您好：，请问男性56岁没有晨勃正常吗？,O O O O O O O O B_age I_age I_age B_symptom I_symptom I_symptom I_symptom O O O O
在的嗯，目前在性生活的话是否觉得龟头敏感控制不住射精呢？,O O O O O O O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O
那怎么才能使精子变回以前的颜色呢,O O O O O O B_fluid I_fluid O O O O O O O O
而且国家和医院规定不允许网上指导药物您都没有检查确诊清楚原因给您盲目的开药吃坏身体算谁的呢？那改天有时间在约,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
精液出现异常你自己是解决不了的，我不希望说因为这个问题而影响到你以后的性生活方面你是咱们绵阳哪里的,B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_address I_address O O O
之前在协和花了不少钱,O O O O O O O O O O
波重视,O O O
单纯的做一个检查,O O O O O O O O
出现多久了？,O O O O O O
是建议尽早进行包皮手术治疗的我姓李怎么称呼呢？,O O O O O O O B_surgery I_surgery I_surgery I_surgery O O O O O B_name O O O O O O
你贵姓？我到你们医院找你吧,O O O O O O O O O O O O O
好的，我添加你了，你同意下晚安了,O O O O O O O O O O O O O O O O
有的嗯，手淫相比性生活力度更大，快感更强烈，长期会使阴茎阴茎受损，血运不足，导致痿等性功能障碍的。,O O O O B_cause I_cause O O O O O O O O O O O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom I_symptom O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom O O
